,schoolid,name,address,city,state,phone,fax,principal
1,1,Jamie Ross High School,43626 Mcbride Crossing Station,West Garyton,MD,+12025550105,+12025550124,
2,2,Gary Sullivan High School,7835 Brandon Trafficway Parkways,West Garyton,MD,+12025550124,+12025550188,
3,3,Gabriel Ballard High School,72242 Lindsey Gardens Trafficway,West Garyton,MD,+12025550187,+12025550188,
4,4,Miranda Miller High School,92478 Brown Branch Walk,West Garyton,MD,+12025550187,+12025550137,
5,5,John Walker High School,8114 David Dale Ridge,West Garyton,MD,+12025550137,+12025550124,
6,6,Michelle Silva High School,6982 Kathy Canyon Centers,West Garyton,MD,+12025550124,+12025550187,
7,7,Steve Johnson High School,807 Jones Lock Plaza,West Garyton,MD,+12025550137,+12025550187,
8,8,Patrick Sanchez High School,0150 Clayton Centers Loop,West Garyton,MD,+12025550124,+12025550187,
9,9,Timothy Clark PhD High School,17807 Melendez Way Corner,West Garyton,MD,+12025550187,+12025550191,
10,10,Anthony Robinson High School,38019 Martinez Plaza Groves,West Garyton,MD,+12025550137,+12025550187,
11,11,Christina Nguyen High School,240 Rodriguez Shores Estates,West Garyton,MD,+12025550124,+12025550105,
12,12,Megan Bass High School,948 Jessica Junctions Mountain,West Garyton,MD,+12025550105,+12025550191,
13,13,Jasmine Keith High School,6879 Wells Square Ford,West Garyton,MD,+12025550137,+12025550188,
14,14,Dennis Bailey High School,11387 Omar Trail Stream,West Garyton,MD,+12025550188,+12025550191,
15,15,Samantha Nichols High School,4412 Matthew Route Hill,West Garyton,MD,+12025550105,+12025550191,
16,16,Matthew Gonzalez High School,138 Cathy Alley Coves,West Garyton,MD,+12025550187,+12025550188,
17,17,Lisa Gardner Middle School,6143 Erin Creek Squares,West Garyton,MD,+12025550137,+12025550187,
18,18,Brittany Flynn Middle School,6782 Diana Station Island,West Garyton,MD,+12025550188,+12025550137,
19,19,Chad Salas Middle School,5059 Donald Lodge Wall,West Garyton,MD,+12025550105,+12025550137,
20,20,Ashley Gordon Middle School,672 Johnson Groves Village,West Garyton,MD,+12025550187,+12025550188,
21,21,Krista Day Middle School,5682 Shane Village Garden,West Garyton,MD,+12025550191,+12025550137,
22,22,Ashley Anderson Middle School,62478 Lewis Pike Ferry,West Garyton,MD,+12025550137,+12025550188,
23,23,Luis Thornton Middle School,1699 Steven Lakes Tunnel,West Garyton,MD,+12025550124,+12025550105,
24,24,Lindsey Sanders Middle School,04834 Jonathan Crescent Causeway,West Garyton,MD,+12025550187,+12025550105,
25,25,Cameron Boyd Middle School,68949 Daniel Crossing Summit,West Garyton,MD,+12025550124,+12025550187,
26,26,Paula Brown Middle School,7401 Smith Way Villages,West Garyton,MD,+12025550187,+12025550137,
27,27,Dawn Jackson Middle School,3476 Rebecca River Shoal,West Garyton,MD,+12025550191,+12025550188,
28,28,Amy Parker Middle School,74767 Anna Green Spurs,West Garyton,MD,+12025550124,+12025550137,
29,29,Dr. Scott Miller Middle School,3275 Velasquez River Place,West Garyton,MD,+12025550191,+12025550105,
30,30,Mr. Jason Gray DDS Middle School,32426 Smith Wall Shoal,West Garyton,MD,+12025550188,+12025550137,
31,31,Alexander Lopez Middle School,3512 Oliver Mills Crescent,West Garyton,MD,+12025550191,+12025550105,
32,32,Gabriel Perez Middle School,3277 Jacqueline Shore Vista,West Garyton,MD,+12025550137,+12025550105,
33,33,Kenneth Caldwell Middle School,98966 Lynn Ranch Fall,West Garyton,MD,+12025550187,+12025550105,
34,34,Elizabeth Jones Middle School,47928 Ellis Meadow Greens,West Garyton,MD,+12025550187,+12025550124,
35,35,Stephanie Lowery Middle School,822 Courtney Cliffs Keys,West Garyton,MD,+12025550105,+12025550188,
36,36,Javier Ward Middle School,965 Cesar Plains Track,West Garyton,MD,+12025550188,+12025550105,
37,37,Teresa Shelton Middle School,53475 Dixon Views Skyway,West Garyton,MD,+12025550137,+12025550188,
38,38,Ryan Baker Middle School,16159 Gray Union Loop,West Garyton,MD,+12025550105,+12025550137,
39,39,Lynn Schwartz Middle School,99193 Stephanie Drives Union,West Garyton,MD,+12025550124,+12025550137,
40,40,Jessica Santos Middle School,913 Calhoun Corner Valleys,West Garyton,MD,+12025550105,+12025550137,
41,41,Lisa Harrell Middle School,9640 Stephanie Cliff Crossing,West Garyton,MD,+12025550187,+12025550105,
42,42,Jaclyn Martinez Middle School,4669 Judy Junctions Meadows,West Garyton,MD,+12025550191,+12025550137,
43,43,Kathy Hurley Middle School,547 Brown Mountain Causeway,West Garyton,MD,+12025550188,+12025550124,
44,44,Michael Jones Middle School,16591 Jeffrey Dale Shores,West Garyton,MD,+12025550105,+12025550191,
45,45,Jose White Middle School,166 Raymond Parkways Tunnel,West Garyton,MD,+12025550191,+12025550137,
46,46,Jonathon Jensen Middle School,4857 Julie Overpass Ville,West Garyton,MD,+12025550187,+12025550188,
47,47,Kristen Mitchell Middle School,295 Ramirez Vista Courts,West Garyton,MD,+12025550187,+12025550191,
48,48,Eric Smith Middle School,0911 Rodney Garden Expressway,West Garyton,MD,+12025550137,+12025550188,
49,49,David Francis Elementary School,07292 Arnold Ports Courts,West Garyton,MD,+12025550187,+12025550191,
50,50,Mr. Eric Chavez Elementary School,61456 Banks Valleys Motorway,West Garyton,MD,+12025550188,+12025550137,
51,51,Stephen Turner Elementary School,974 Robert Flat Extension,West Garyton,MD,+12025550188,+12025550105,
52,52,Veronica Booker Elementary School,2438 Cassie Gardens Gateway,West Garyton,MD,+12025550105,+12025550124,
53,53,Nicole Osborne Elementary School,77928 Craig Landing Greens,West Garyton,MD,+12025550124,+12025550105,
54,54,Charles Wright Elementary School,59919 Angela Key Point,West Garyton,MD,+12025550188,+12025550191,
55,55,Bryan Long Elementary School,401 Crystal Rue Lodge,West Garyton,MD,+12025550105,+12025550191,
56,56,Richard Thompson Elementary School,36424 Aguilar Springs Burg,West Garyton,MD,+12025550124,+12025550187,
57,57,Ronnie Ruiz Elementary School,15338 Denise Lights Stream,West Garyton,MD,+12025550191,+12025550105,
58,58,Dustin Meyers Elementary School,7869 Jennifer Dam Orchard,West Garyton,MD,+12025550137,+12025550191,
59,59,Todd Diaz Elementary School,0449 Ruth Dam Glens,West Garyton,MD,+12025550124,+12025550191,
60,60,Richard Sheppard Elementary School,2486 Baker Mountain Divide,West Garyton,MD,+12025550191,+12025550124,
61,61,Tiffany Moses Elementary School,47966 White Knoll Road,West Garyton,MD,+12025550187,+12025550188,
62,62,Shane Bradley Elementary School,74744 Ford Knolls Brook,West Garyton,MD,+12025550124,+12025550137,
63,63,Justin Cantu Elementary School,00736 Philip Burgs Throughway,West Garyton,MD,+12025550137,+12025550105,
64,64,Andrew Smith Elementary School,82447 Clay Dam Tunnel,West Garyton,MD,+12025550105,+12025550191,
65,65,Robert Howell Elementary School,18657 Patricia Key Circle,West Garyton,MD,+12025550105,+12025550191,
66,66,Angela Barnes Elementary School,190 Bailey Curve Spurs,West Garyton,MD,+12025550188,+12025550187,
67,67,Eric Perkins Elementary School,209 Matthew Trafficway Station,West Garyton,MD,+12025550105,+12025550137,
68,68,Holly Brown Elementary School,4163 Davis Harbors Mission,West Garyton,MD,+12025550188,+12025550191,
69,69,Tanya Knight Elementary School,14503 Daniel Highway Meadows,West Garyton,MD,+12025550137,+12025550188,
70,70,Dr. Julie Nelson DVM Elementary School,93470 Patrick Mountains Tunnel,West Garyton,MD,+12025550191,+12025550187,
71,71,Nicole Ryan Elementary School,5785 Jacob Ports Crossing,West Garyton,MD,+12025550105,+12025550188,
72,72,Margaret Brown Elementary School,3128 Dyer Forge Village,West Garyton,MD,+12025550105,+12025550188,
73,73,Wayne Fox DDS Elementary School,98415 Melissa Pines Junction,West Garyton,MD,+12025550187,+12025550191,
74,74,Jennifer Rodriguez Elementary School,17517 Gonzalez Manors Canyon,West Garyton,MD,+12025550137,+12025550105,
75,75,Melanie Mcmahon Elementary School,1908 Bell Cliff Mills,West Garyton,MD,+12025550105,+12025550188,
76,76,Julie Carter Elementary School,93192 Collins Isle Dale,West Garyton,MD,+12025550105,+12025550137,
77,77,Tyler Whitaker Elementary School,46045 Anthony Squares Fords,West Garyton,MD,+12025550105,+12025550191,
78,78,Kendra Bradley Elementary School,014 Smith Loop Walks,West Garyton,MD,+12025550188,+12025550137,
79,79,Joshua Carey Elementary School,028 Randy Burgs Valley,West Garyton,MD,+12025550188,+12025550187,
80,80,Aaron Jennings Elementary School,3497 Monica Motorway Camp,West Garyton,MD,+12025550187,+12025550137,
81,81,Melissa Williamson Elementary School,200 Suzanne Mall Oval,West Garyton,MD,+12025550187,+12025550137,
82,82,Rachel Acosta Elementary School,590 Sharon Estates Crest,West Garyton,MD,+12025550187,+12025550137,
83,83,Samuel Lara Elementary School,760 John Shores Summit,West Garyton,MD,+12025550188,+12025550191,
84,84,David Ball Elementary School,71702 Anna Glens Mission,West Garyton,MD,+12025550124,+12025550191,
85,85,Madison Smith Elementary School,99824 Benjamin Island Village,West Garyton,MD,+12025550188,+12025550187,
86,86,Kathleen Wilson Elementary School,18030 Christopher Plains Mission,West Garyton,MD,+12025550191,+12025550188,
87,87,Mr. Anthony Stevens Elementary School,1989 Gates Neck Via,West Garyton,MD,+12025550188,+12025550191,
88,88,Ashley Henry Elementary School,18136 Freeman Springs Station,West Garyton,MD,+12025550187,+12025550124,
89,89,Ellen Harper Elementary School,214 Williams Isle Mountains,West Garyton,MD,+12025550105,+12025550188,
90,90,Ryan Jensen Elementary School,2710 Karen Valleys Keys,West Garyton,MD,+12025550191,+12025550187,
91,91,Victoria Conrad Elementary School,580 James Island Fields,West Garyton,MD,+12025550187,+12025550191,
92,92,David Jefferson Elementary School,57266 Green Alley Summit,West Garyton,MD,+12025550188,+12025550191,
93,93,Andrew Stanley MD Elementary School,00263 Robert Cove Lodge,West Garyton,MD,+12025550105,+12025550191,
94,94,Michael Mccoy Elementary School,9288 Lonnie Causeway Parks,West Garyton,MD,+12025550105,+12025550191,
95,95,Rachel Adams Elementary School,2366 Zachary Overpass Ford,West Garyton,MD,+12025550105,+12025550191,
96,96,Taylor Diaz Elementary School,9391 Park Forge Way,West Garyton,MD,+12025550105,+12025550188,
97,97,Michael Morris Elementary School,1904 Berry Course Drives,West Garyton,MD,+12025550188,+12025550124,
98,98,Crystal Elliott Elementary School,96076 Ashley Junctions Causeway,West Garyton,MD,+12025550137,+12025550105,
99,99,Brenda Navarro Elementary School,824 Susan Spring Fords,West Garyton,MD,+12025550137,+12025550187,
100,100,Joseph Riddle Elementary School,84305 Douglas Forks Prairie,West Garyton,MD,+12025550124,+12025550188,
101,101,Bobby Tucker Elementary School,786 Heather Mill Burgs,West Garyton,MD,+12025550188,+12025550187,
102,102,Nicholas Smith Elementary School,6572 Julie Square Burgs,West Garyton,MD,+12025550191,+12025550105,
103,103,Sierra Butler Elementary School,439 Cruz Lakes Spur,West Garyton,MD,+12025550124,+12025550191,
104,104,Ronald Newman Elementary School,6854 Stephanie Curve Lake,West Garyton,MD,+12025550124,+12025550187,
105,105,Christina Gutierrez Elementary School,03985 Jessica Valley Pike,West Garyton,MD,+12025550124,+12025550191,
106,106,Stephanie Aguilar Elementary School,1314 William Bridge Shores,West Garyton,MD,+12025550105,+12025550188,
107,107,Scott Davis Elementary School,90817 Pineda Pine Fields,West Garyton,MD,+12025550137,+12025550191,
108,108,Amanda Quinn Elementary School,50004 Jon Causeway Turnpike,West Garyton,MD,+12025550124,+12025550191,
109,109,Morgan Davis Elementary School,303 Sean Island Throughway,West Garyton,MD,+12025550137,+12025550188,
110,110,Tony Sampson Elementary School,97778 Marcus Walk Crossing,West Garyton,MD,+12025550137,+12025550187,
111,111,Trevor Ferguson Elementary School,336 Lawson Lakes Freeway,West Garyton,MD,+12025550137,+12025550188,
112,112,Javier Jenkins Elementary School,335 Brandon Walks Dam,West Garyton,MD,+12025550187,+12025550124,
113,113,Jacob Bryant Elementary School,24114 Darlene Terrace Tunnel,West Garyton,MD,+12025550187,+12025550188,
114,114,Corey Bailey Elementary School,75216 Ian Street Gardens,West Garyton,MD,+12025550187,+12025550188,
115,115,Darlene Miller Elementary School,40595 Alvarez Dam Stream,West Garyton,MD,+12025550187,+12025550124,
116,116,Matthew Gray Elementary School,160 Lauren Well Burgs,West Garyton,MD,+12025550124,+12025550187,
